Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,12/23/2020,21-119,MIN,,DET,W (+10),0,17:34,2,5,0.4,0,1,0,4,6,0.667,2,3,5,1,0,3,0,0,8,9.6,-1
2,2,12/26/2020,21-122,MIN,@,UTA,W (+5),0,17:36,3,8,0.375,2,4,0.5,0,0,,0,2,2,2,1,0,1,1,8,5.2,-9
3,3,12/27/2020,21-123,MIN,@,LAL,L (-36),1,27:48:00,5,13,0.385,1,4,0.25,0,0,,1,4,5,4,2,0,1,5,11,7.6,-21
4,4,12/29/2020,21-125,MIN,@,LAC,L (-23),1,19:54,4,6,0.667,1,1,1,2,2,1,2,1,3,1,0,0,0,3,11,9.6,-12
5,5,1/1/2021,21-128,MIN,,WAS,L (-21),1,24:18:00,7,10,0.7,1,3,0.333,2,3,0.667,1,5,6,1,1,2,2,4,17,14.1,4
6,6,1/3/2021,21-130,MIN,,DEN,L (-15),0,23:02,6,9,0.667,0,2,0,1,2,0.5,0,4,4,1,0,1,2,5,13,7.3,0
7,7,1/5/2021,21-132,MIN,@,DEN,L (-7),0,10:12,1,2,0.5,0,0,,0,0,,0,0,0,0,0,0,2,5,2,-3,-13
8,8,1/7/2021,21-134,MIN,@,POR,L (-18),0,16:01,4,7,0.571,1,3,0.333,4,7,0.571,2,3,5,1,0,1,0,4,13,10.6,-2
9,9,1/9/2021,21-136,MIN,,SAS,L (-3),0,16:00,6,8,0.75,3,4,0.75,1,2,0.5,1,6,7,1,0,3,2,1,16,15.3,5
10,10,1/10/2021,21-137,MIN,,SAS,W (+8),0,29:24:00,3,7,0.429,1,4,0.25,4,4,1,1,6,7,1,0,1,3,3,11,7,-4
11,11,1/13/2021,21-140,MIN,,MEM,L (-11),0,13:35,3,6,0.5,1,3,0.333,2,2,1,1,2,3,0,0,0,2,2,9,4.5,-16
12,12,1/18/2021,21-145,MIN,@,ATL,L (-11),1,27:50:00,4,9,0.444,1,2,0.5,0,0,,0,2,2,1,2,1,2,2,9,5.5,-7
13,13,1/20/2021,21-147,MIN,,ORL,L (-1),1,29:10:00,5,8,0.625,2,4,0.5,2,2,1,0,3,3,1,0,3,1,1,14,12.7,-4
14,14,1/22/2021,21-149,MIN,,ATL,L (-18),1,25:06:00,6,7,0.857,1,2,0.5,0,0,,0,8,8,2,1,4,0,3,13,16.9,-1
15,15,1/23/2021,21-150,MIN,,NOP,W (+10),1,27:23:00,5,10,0.5,2,4,0.5,8,8,1,1,3,4,2,0,1,1,4,20,16.1,8
16,16,1/25/2021,21-152,MIN,@,GSW,L (-22),1,24:02:00,5,16,0.313,1,6,0.167,0,0,,4,6,10,1,0,2,2,6,11,4.1,-11
17,17,1/27/2021,21-154,MIN,@,GSW,L (-12),1,27:24:00,6,10,0.6,1,2,0.5,6,9,0.667,4,3,7,1,3,5,3,3,19,19.9,-17
18,,1/29/2021,21-156,MIN,,PHI,L (-24),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
19,,1/31/2021,21-158,MIN,,CLE,W (+5),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
20,18,2/1/2021,21-159,MIN,@,CLE,L (-2),0,13:14,5,11,0.455,2,3,0.667,0,0,,2,1,3,0,0,0,0,5,12,6,5
21,19,2/3/2021,21-161,MIN,@,SAS,L (-3),1,32:06:00,3,7,0.429,2,3,0.667,0,0,,2,9,11,3,2,0,1,4,8,9.9,-5
22,20,2/5/2021,21-163,MIN,@,OKC,W (+3),1,27:43:00,8,12,0.667,0,1,0,1,2,0.5,3,6,9,1,0,1,0,4,17,15.1,-8
23,21,2/6/2021,21-164,MIN,@,OKC,L (-2),1,27:04:00,12,21,0.571,1,4,0.25,4,6,0.667,4,2,6,0,2,0,3,3,29,19.5,-4
24,22,2/8/2021,21-166,MIN,@,DAL,L (-5),1,20:59,3,12,0.25,0,4,0,0,0,,0,2,2,2,1,0,1,5,6,-1.2,5
25,23,2/10/2021,21-168,MIN,,LAC,L (-7),0,19:51,9,13,0.692,2,3,0.667,3,4,0.75,2,1,3,0,1,2,0,2,23,20.4,-6
26,24,2/12/2021,21-170,MIN,@,CHO,L (-6),0,16:29,3,7,0.429,0,0,,1,2,0.5,1,4,5,4,0,0,0,1,7,7.2,-3
27,25,2/14/2021,21-172,MIN,@,TOR,W (+4),0,13:49,1,5,0.2,0,1,0,0,0,,0,2,2,1,0,0,1,3,2,-2,-6
28,26,2/16/2021,21-174,MIN,,LAL,L (-8),0,15:23,4,7,0.571,1,2,0.5,1,1,1,0,1,1,1,1,0,0,3,10,7.5,-10
