Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
18,,11/23/2022,23-089,MIN,@,IND,W (+14),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
19,13,11/25/2022,23-091,MIN,@,CHO,L (-2),0,13:27,3,5,0.6,1,2,0.5,0,0,,0,0,0,0,0,0,1,3,7,2.5,-3
20,14,11/27/2022,23-093,MIN,,GSW,L (-23),0,16:01,3,6,0.5,2,3,0.667,0,1,0,0,2,2,2,0,0,0,1,8,6.2,-4
21,15,11/28/2022,23-094,MIN,@,WAS,L (-15),0,17:43,2,6,0.333,1,3,0.333,1,2,0.5,0,3,3,0,0,0,1,5,6,0.1,-2
22,16,11/30/2022,23-096,MIN,,MEM,W (+8),0,22:12,3,8,0.375,0,5,0,1,2,0.5,0,3,3,1,1,5,1,2,7,6.5,-5
23,17,12/3/2022,23-099,MIN,,OKC,L (-7),0,29:47:00,6,12,0.5,0,2,0,1,2,0.5,3,15,18,3,0,4,1,4,13,15.5,0
24,18,12/7/2022,23-103,MIN,,IND,W (+6),0,11:35,3,5,0.6,0,1,0,0,0,,4,3,7,0,1,0,3,3,6,4.2,4
25,19,12/9/2022,23-105,MIN,@,UTA,W (+10),0,17:09,4,10,0.4,3,6,0.5,1,1,1,1,3,4,1,0,1,4,2,12,4.8,-5
26,20,12/10/2022,23-106,MIN,@,POR,L (-6),0,14:27,6,12,0.5,0,2,0,3,3,1,2,1,3,0,1,2,0,1,15,12.7,-17
27,21,12/12/2022,23-108,MIN,@,POR,L (-21),0,18:16,4,4,1,1,1,1,1,2,0.5,0,4,4,1,0,0,1,2,10,8.5,-12
28,22,12/14/2022,23-110,MIN,@,LAC,L (-11),0,20:05,3,5,0.6,0,0,,3,4,0.75,1,6,7,1,0,0,1,1,9,8.1,-15
29,23,12/16/2022,23-112,MIN,@,OKC,W (+2),1,36:39:00,11,18,0.611,3,5,0.6,3,7,0.429,3,6,9,3,3,1,3,3,28,23.7,21
30,24,12/18/2022,23-114,MIN,,CHI,W (+24),1,11:52,4,4,1,2,2,1,0,2,0,0,3,3,0,1,0,0,0,10,9.9,14
31,25,12/19/2022,23-115,MIN,,DAL,W (+10),1,40:00:00,11,19,0.579,2,6,0.333,3,4,0.75,2,11,13,1,2,1,2,2,27,23,17
32,26,12/21/2022,23-117,MIN,,DAL,L (-5),0,12:34,2,3,0.667,2,2,1,0,0,,0,3,3,4,0,0,1,5,6,5.4,-1
33,27,12/23/2022,23-119,MIN,@,BOS,L (-12),0,25:05:00,6,10,0.6,2,4,0.5,0,0,,1,4,5,2,0,2,4,4,14,8.5,-1
34,28,12/26/2022,23-122,MIN,@,MIA,L (-3),0,29:15:00,8,15,0.533,1,4,0.25,4,5,0.8,2,9,11,2,0,1,3,1,21,16.1,13
35,29,12/28/2022,23-124,MIN,@,NOP,L (-1),0,25:28:00,5,8,0.625,2,5,0.4,1,2,0.5,0,6,6,1,0,2,1,1,13,11.5,6
36,30,12/30/2022,23-126,MIN,@,MIL,L (-9),1,29:48:00,7,18,0.389,2,8,0.25,0,0,,1,6,7,1,1,1,0,5,16,9.1,-6
37,31,12/31/2022,23-127,MIN,,DET,L (-12),0,23:59,3,6,0.5,0,2,0,0,0,,2,7,9,0,2,2,3,2,6,6.1,-8
38,,1/2/2023,23-129,MIN,,DEN,W (+13),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
39,,1/4/2023,23-131,MIN,,POR,W (+7),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
40,32,1/6/2023,23-133,MIN,,LAC,W (+13),0,9:15,4,4,1,2,2,1,0,0,,0,0,0,0,0,0,1,1,10,7.4,-14
41,33,1/8/2023,23-135,MIN,@,HOU,W (+8),0,10:23,3,4,0.75,0,0,,0,0,,2,3,5,0,1,0,0,1,6,7.3,-8
42,34,1/11/2023,23-138,MIN,@,DET,L (-17),0,13:29,4,7,0.571,0,0,,0,0,,6,2,8,0,0,0,2,2,8,6.7,-16
43,35,1/13/2023,23-140,MIN,,PHO,W (+5),0,15:29,5,8,0.625,1,3,0.333,2,2,1,2,4,6,3,2,0,2,1,13,13.7,5
44,36,1/14/2023,23-141,MIN,,CLE,W (+8),0,28:09:00,8,16,0.5,1,7,0.143,0,0,,2,5,7,0,0,1,1,4,17,10,-5
45,37,1/16/2023,23-143,MIN,,UTA,L (-1),0,21:46,3,8,0.375,1,4,0.25,0,0,,4,3,7,0,0,2,1,5,7,4.7,-6
46,38,1/18/2023,23-145,MIN,@,DEN,L (-4),1,25:57:00,4,9,0.444,0,5,0,9,10,0.9,1,2,3,2,0,3,3,5,17,11.7,2
47,39,1/19/2023,23-146,MIN,,TOR,W (+2),1,22:05,2,6,0.333,1,1,1,0,0,,0,7,7,2,2,1,4,3,5,2.6,16
48,40,1/21/2023,23-148,MIN,,HOU,W (+9),1,15:09,2,7,0.286,0,4,0,1,1,1,1,2,3,1,0,1,1,3,5,1.4,-9
49,41,1/23/2023,23-150,MIN,@,HOU,L (-5),0,9:08,1,2,0.5,0,1,0,0,0,,1,0,1,0,1,1,1,0,2,2.4,-2
50,42,1/25/2023,23-152,MIN,@,NOP,W (+9),0,13:30,1,1,1,1,1,1,3,4,0.75,1,6,7,0,2,2,1,2,6,9.4,-4
51,43,1/27/2023,23-154,MIN,,MEM,W (+11),0,16:33,4,6,0.667,1,3,0.333,0,2,0,2,1,3,1,2,1,0,1,9,10.3,6
52,44,1/28/2023,23-155,MIN,,SAC,W (+7),0,13:19,6,9,0.667,1,4,0.25,1,1,1,0,2,2,0,0,0,1,4,14,8.1,-8
53,45,1/30/2023,23-157,MIN,,SAC,L (-7),0,15:38,3,9,0.333,0,4,0,0,0,,2,1,3,1,1,0,1,2,6,2.5,-8
54,46,2/1/2023,23-159,MIN,,GSW,W (+5),1,35:20:00,10,22,0.455,2,8,0.25,2,4,0.5,1,12,13,4,1,1,1,4,24,18,5
55,47,2/3/2023,23-161,MIN,,ORL,L (-7),0,20:47,4,7,0.571,2,4,0.5,0,1,0,2,1,3,1,1,1,2,4,10,6.8,-11
56,48,2/5/2023,23-163,MIN,,DEN,W (+30),0,14:45,3,3,1,1,1,1,0,0,,1,1,2,0,0,1,0,4,7,6.2,7
57,49,2/7/2023,23-165,MIN,@,DEN,L (-34),1,12:08,5,9,0.556,1,3,0.333,0,0,,0,3,3,0,0,0,2,2,11,4.8,-7
58,50,2/8/2023,23-166,MIN,@,UTA,W (+25),1,21:58,3,8,0.375,2,4,0.5,0,0,,2,5,7,3,0,0,2,3,8,5.4,14
59,51,2/10/2023,23-168,MIN,@,MEM,L (-21),0,16:51,4,7,0.571,2,3,0.667,0,0,,0,3,3,2,0,0,1,3,10,6.8,-3
60,52,2/13/2023,23-171,MIN,@,DAL,W (+3),0,12:28,4,9,0.444,1,5,0.2,1,1,1,0,2,2,2,0,0,1,3,10,5.1,-7
61,53,2/16/2023,23-174,MIN,,WAS,L (-8),0,12:30,2,7,0.286,0,2,0,2,2,1,1,4,5,2,0,0,2,0,6,3.2,-12
62,54,2/24/2023,23-182,MIN,,CHO,L (-8),0,17:58,6,12,0.5,2,7,0.286,2,2,1,1,7,8,2,0,2,1,4,16,13,-1
63,55,2/26/2023,23-184,MIN,@,GSW,L (-5),1,36:11:00,12,22,0.545,4,11,0.364,2,5,0.4,2,7,9,3,5,2,2,3,30,27,-6
64,56,2/28/2023,23-186,MIN,@,LAC,W (+7),0,18:46,4,6,0.667,0,1,0,4,7,0.571,3,5,8,2,1,0,4,5,12,8.2,4
65,57,3/3/2023,23-189,MIN,@,LAL,W (+8),0,20:57,6,12,0.5,3,6,0.5,0,0,,1,7,8,2,2,0,2,4,15,11.6,9
66,58,3/4/2023,23-190,MIN,@,SAC,W (+4),0,16:56,4,5,0.8,2,3,0.667,0,2,0,0,4,4,1,0,0,0,5,10,7.2,-7
67,59,3/7/2023,23-193,MIN,,PHI,L (-23),0,17:37,4,9,0.444,1,4,0.25,2,2,1,1,2,3,3,1,0,1,3,11,8.5,-10
68,60,3/10/2023,23-196,MIN,,BRK,L (-1),0,10:45,1,3,0.333,1,1,1,0,0,,1,3,4,0,0,0,2,3,3,-0.3,-6
69,,3/13/2023,23-199,MIN,@,ATL,W (+21),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
70,61,3/15/2023,23-201,MIN,,BOS,L (-2),0,19:03,4,9,0.444,1,3,0.333,6,6,1,0,6,6,1,0,0,3,4,15,8.2,0
71,62,3/17/2023,23-203,MIN,@,CHI,L (-8),0,24:33:00,6,15,0.4,0,4,0,2,2,1,1,2,3,1,1,1,2,4,14,6,-12
72,63,3/18/2023,23-204,MIN,@,TOR,L (-15),0,19:51,8,10,0.8,1,2,0.5,5,7,0.714,0,4,4,1,0,0,2,3,22,16.1,-9
73,64,3/20/2023,23-206,MIN,@,NYK,W (+6),0,19:32,6,9,0.667,0,2,0,0,0,,0,2,2,3,0,1,1,4,12,8.9,-13
74,65,3/22/2023,23-208,MIN,,ATL,W (+1),0,25:37:00,11,15,0.733,2,4,0.5,2,2,1,1,7,8,0,2,0,2,3,26,21.5,3
75,66,3/26/2023,23-212,MIN,@,GSW,W (+3),0,20:46,10,17,0.588,3,5,0.6,0,0,,1,5,6,1,0,0,1,0,23,17,8
76,67,3/27/2023,23-213,MIN,@,SAC,W (+4),0,20:46,7,12,0.583,2,5,0.4,2,4,0.5,0,4,4,1,1,1,0,1,18,14.8,-8
77,68,3/29/2023,23-215,MIN,@,PHO,L (-7),0,23:08,5,13,0.385,2,4,0.5,3,5,0.6,1,5,6,2,0,1,1,1,15,10,-4
78,,3/31/2023,23-217,MIN,,LAL,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
79,,4/2/2023,23-219,MIN,,POR,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
80,,4/4/2023,23-221,MIN,@,BRK,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
81,,4/8/2023,23-225,MIN,@,SAS,W (+20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
82,,4/9/2023,23-226,MIN,,NOP,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
