Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,10/19/2022,23-054,MIN,,OKC,W (+7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,1,10/21/2022,23-056,MIN,,UTA,L (-6),0,9:19,0,3,0,0,1,0,0,0,,1,1,2,1,1,2,1,2,0,0.2,-1
3,2,10/23/2022,23-058,MIN,@,OKC,W (+10),0,13:04,5,7,0.714,2,4,0.5,2,4,0.5,1,1,2,1,0,1,0,4,14,11.1,2
4,3,10/24/2022,23-059,MIN,,SAS,L (-9),0,12:43,3,7,0.429,0,1,0,0,0,,1,2,3,0,0,1,0,0,6,4.3,-1
5,4,10/26/2022,23-061,MIN,,SAS,W (+12),0,5:13,1,1,1,0,0,,0,0,,0,2,2,1,1,0,0,0,2,4,3
6,,10/28/2022,23-063,MIN,,LAL,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7,5,10/30/2022,23-065,MIN,@,SAS,L (-9),0,8:33,5,7,0.714,1,2,0.5,0,0,,1,1,2,0,1,0,0,0,11,10.1,12
8,6,11/1/2022,23-067,MIN,@,PHO,L (-9),0,15:46,5,6,0.833,1,2,0.5,2,2,1,0,3,3,0,1,0,0,0,13,12.7,10
9,7,11/4/2022,23-070,MIN,,MIL,L (-13),0,22:01,3,7,0.429,0,3,0,2,2,1,0,5,5,0,0,1,1,3,8,4.3,1
10,8,11/5/2022,23-071,MIN,,HOU,W (+12),0,13:15,4,7,0.571,2,4,0.5,1,2,0.5,0,3,3,0,0,1,5,6,11,1.5,8
11,9,11/7/2022,23-073,MIN,,NYK,L (-13),0,18:17,5,8,0.625,0,3,0,1,2,0.5,2,0,2,0,0,1,0,2,11,8.3,-14
12,,11/9/2022,23-075,MIN,,PHO,L (-12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,,11/11/2022,23-077,MIN,@,MEM,L (-11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,,11/13/2022,23-079,MIN,@,CLE,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,10,11/16/2022,23-082,MIN,@,ORL,W (+18),0,1:46,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,1,-5
16,11,11/19/2022,23-085,MIN,@,PHI,W (+3),0,10:23,3,4,0.75,1,1,1,2,2,1,1,3,4,1,0,0,0,5,9,7.7,3
17,12,11/21/2022,23-087,MIN,,MIA,W (+4),0,16:11,3,9,0.333,0,2,0,3,4,0.75,0,4,4,2,0,1,1,3,9,4.6,-25
