Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
36,33,1/2/2022,22-129,MIN,@,LAL,L (-5),1,30:24:00,10,17,0.588,0,4,0,3,4,0.75,5,6,11,2,0,0,3,4,23,16.8,-6
37,34,1/3/2022,22-130,MIN,@,LAC,W (+18),1,25:14:00,6,9,0.667,1,3,0.333,0,0,,3,3,6,1,1,1,2,1,13,12.1,8
38,35,1/5/2022,22-132,MIN,,OKC,W (+8),0,11:04,0,2,0,0,2,0,1,2,0.5,1,2,3,0,1,3,0,1,1,3.2,-8
39,36,1/7/2022,22-134,MIN,@,OKC,W (+30),0,20:03,6,8,0.75,2,4,0.5,3,4,0.75,2,3,5,1,0,3,2,1,17,16.1,8
40,37,1/9/2022,22-136,MIN,@,HOU,W (+18),0,12:22,1,5,0.2,0,2,0,0,0,,2,3,5,1,0,2,2,3,2,0.1,-11
41,38,1/11/2022,22-138,MIN,@,NOP,L (-3),0,6:04,1,3,0.333,0,1,0,0,0,,0,1,1,0,0,0,0,2,2,-0.2,1
42,39,1/13/2022,22-140,MIN,@,MEM,L (-8),0,11:02,1,8,0.125,1,3,0.333,1,2,0.5,0,2,2,0,0,2,2,0,4,-1.6,-6
43,40,1/16/2022,22-143,MIN,,GSW,W (+20),0,14:49,4,5,0.8,1,1,1,0,0,,1,8,9,1,0,1,2,3,9,8.4,15
44,41,1/18/2022,22-145,MIN,@,NYK,W (+2),0,11:50,1,2,0.5,1,2,0.5,6,6,1,2,1,3,2,0,2,0,0,9,12.5,5
45,42,1/19/2022,22-146,MIN,@,ATL,L (-12),0,20:33,2,7,0.286,0,1,0,3,4,0.75,3,3,6,1,0,1,2,1,7,4.5,5
46,43,1/23/2022,22-150,MIN,,BRK,W (+11),0,14:28,2,7,0.286,0,2,0,0,1,0,3,2,5,1,1,3,1,3,4,3.8,10
47,44,1/25/2022,22-152,MIN,@,POR,W (+2),0,10:36,1,4,0.25,0,2,0,1,2,0.5,0,1,1,1,0,0,1,5,3,-1.8,-11
48,45,1/27/2022,22-154,MIN,@,GSW,L (-9),0,11:04,2,2,1,0,0,,0,0,,0,0,0,0,0,0,1,0,4,2.4,7
49,46,1/28/2022,22-155,MIN,@,PHO,L (-10),0,17:21,2,4,0.5,0,0,,2,2,1,2,2,4,0,0,2,1,4,6,4.8,7
50,47,1/30/2022,22-157,MIN,,UTA,W (+20),0,14:18,3,4,0.75,0,1,0,0,0,,1,2,3,3,0,0,1,1,6,6.4,0
51,48,2/1/2022,22-159,MIN,,DEN,W (+15),0,20:19,5,7,0.714,1,1,1,1,2,0.5,3,2,5,2,1,2,2,2,12,12.4,3
52,49,2/3/2022,22-161,MIN,@,DET,W (+11),0,11:48,1,2,0.5,0,0,,0,0,,1,1,2,3,0,0,2,1,2,1.7,7
53,50,2/6/2022,22-164,MIN,,DET,W (+13),0,10:16,1,2,0.5,1,1,1,0,0,,1,1,2,0,1,1,2,2,3,1.9,5
54,51,2/8/2022,22-166,MIN,@,SAC,W (+20),0,16:31,4,6,0.667,2,3,0.667,2,2,1,1,3,4,1,1,0,1,1,12,11.3,11
55,52,2/9/2022,22-167,MIN,@,SAC,L (-13),0,11:47,2,5,0.4,1,3,0.333,2,3,0.667,1,3,4,1,0,2,1,0,7,6.6,-9
56,53,2/11/2022,22-169,MIN,@,CHI,L (-12),0,10:55,1,4,0.25,1,3,0.333,0,0,,0,2,2,0,0,0,0,1,3,0.8,-9
57,54,2/13/2022,22-171,MIN,@,IND,W (+9),0,23:19,3,8,0.375,0,0,,7,7,1,1,2,3,2,0,3,0,2,13,12.6,12
58,55,2/15/2022,22-173,MIN,,CHO,W (+6),0,11:19,3,4,0.75,1,1,1,0,0,,1,2,3,1,0,1,0,2,7,7.3,-2
59,56,2/16/2022,22-174,MIN,,TOR,L (-12),0,14:00,2,2,1,0,0,,0,1,0,0,6,6,2,1,2,0,1,4,8.2,-14
60,57,2/24/2022,22-182,MIN,,MEM,W (+5),0,20:08,3,5,0.6,0,2,0,0,0,,2,1,3,1,0,3,0,5,6,6.2,9
61,58,2/25/2022,22-183,MIN,,PHI,L (-31),0,14:23,3,6,0.5,0,2,0,1,1,1,0,2,2,2,1,0,2,3,7,3.8,1
62,59,2/28/2022,22-186,MIN,@,CLE,W (+5),0,13:46,3,6,0.5,0,2,0,0,0,,0,0,0,2,1,0,1,1,6,4,5
63,60,3/1/2022,22-187,MIN,,GSW,W (+15),0,15:54,4,6,0.667,0,1,0,1,2,0.5,0,3,3,1,0,0,2,1,9,5.2,5
