Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
15,,11/20/2019,20-086,MIN,,UTA,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,,11/23/2019,20-089,MIN,,PHO,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,,11/25/2019,20-091,MIN,@,ATL,W (+12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
18,,11/27/2019,20-093,MIN,@,SAS,W (+12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
19,,12/1/2019,20-097,MIN,,MEM,L (-8),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
20,,12/4/2019,20-100,MIN,@,DAL,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
21,,12/6/2019,20-102,MIN,@,OKC,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
22,1,12/8/2019,20-104,MIN,@,LAL,L (-17),0,2:51,1,2,0.5,1,2,0.5,0,0,,0,0,0,0,0,0,0,0,3,2,2
23,2,12/9/2019,20-105,MIN,@,PHO,L (-16),0,1:09,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,2
24,,12/11/2019,20-107,MIN,,UTA,L (-11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
25,,12/13/2019,20-109,MIN,,LAC,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
26,,12/18/2019,20-114,MIN,,NOP,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
27,,12/20/2019,20-116,MIN,@,DEN,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
28,,12/21/2019,20-117,MIN,@,POR,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
29,,12/23/2019,20-119,MIN,@,GSW,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
30,,12/26/2019,20-122,MIN,@,SAC,W (+1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
31,,12/28/2019,20-124,MIN,,CLE,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
32,3,12/30/2019,20-126,MIN,,BRK,W (+7),0,19:54,5,16,0.313,3,10,0.3,0,0,,1,3,4,1,1,1,2,3,13,4.6,4
33,4,1/1/2020,20-128,MIN,@,MIL,L (-2),0,18:20,4,10,0.4,2,7,0.286,1,2,0.5,0,2,2,1,0,1,1,5,11,4.2,3
34,5,1/2/2020,20-129,MIN,,GSW,W (+15),0,20:29,5,11,0.455,3,6,0.5,0,3,0,2,4,6,1,0,1,1,1,13,8.7,2
35,6,1/5/2020,20-132,MIN,@,CLE,W (+15),0,10:49,4,7,0.571,0,1,0,0,0,,1,1,2,3,3,0,2,2,8,8,-11
36,7,1/7/2020,20-134,MIN,@,MEM,L (-7),0,10:35,3,6,0.5,1,3,0.333,3,3,1,3,2,5,1,0,0,1,3,10,8.2,7
37,8,1/9/2020,20-136,MIN,,POR,W (+14),0,16:31,0,5,0,0,2,0,0,0,,0,6,6,1,0,1,0,5,0,-2.3,-1
38,9,1/11/2020,20-138,MIN,@,HOU,L (-30),0,17:34,5,14,0.357,1,8,0.125,3,4,0.75,1,1,2,1,0,1,0,2,14,7.4,-8
39,10,1/13/2020,20-140,MIN,,OKC,L (-13),0,18:23,7,13,0.538,4,8,0.5,2,2,1,0,1,1,1,0,1,0,4,20,13.8,3
40,11,1/15/2020,20-142,MIN,,IND,L (-5),0,8:11,1,3,0.333,0,1,0,0,0,,1,0,1,0,0,0,1,2,2,-0.8,6
41,,1/17/2020,20-144,MIN,@,IND,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
42,12,1/18/2020,20-145,MIN,,TOR,L (-10),0,2:40,0,1,0,0,1,0,0,0,,0,0,0,1,0,0,0,0,0,0,8
43,,1/20/2020,20-147,MIN,,DEN,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
44,,1/22/2020,20-149,MIN,@,CHI,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
45,,1/24/2020,20-151,MIN,,HOU,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
46,13,1/25/2020,20-152,MIN,,OKC,L (-9),0,6:45,1,2,0.5,0,0,,0,0,,1,1,2,2,1,0,0,1,2,4,5
47,14,1/27/2020,20-154,MIN,,SAC,L (-4),0,1:02,0,1,0,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-6
48,15,2/1/2020,20-159,MIN,@,LAC,L (-12),0,2:12,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1,5
49,,2/3/2020,20-161,MIN,@,SAC,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
50,16,2/5/2020,20-163,MIN,,ATL,L (-7),0,12:54,4,6,0.667,2,3,0.667,0,0,,0,2,2,0,0,2,1,5,10,6.4,5
51,17,2/8/2020,20-166,MIN,,LAC,W (+27),0,13:48,5,13,0.385,4,6,0.667,0,0,,2,7,9,1,0,0,1,3,14,8.9,2
52,18,2/10/2020,20-168,MIN,@,TOR,L (-11),0,9:52,2,5,0.4,1,1,1,3,3,1,1,2,3,0,0,1,1,1,8,5.9,-2
53,19,2/12/2020,20-170,MIN,,CHO,L (-7),0,22:05,4,7,0.571,0,2,0,4,4,1,1,5,6,0,1,1,0,5,12,10.6,0
54,20,2/21/2020,20-179,MIN,,BOS,L (-10),1,32:34:00,7,15,0.467,2,5,0.4,3,4,0.75,4,5,9,1,3,0,0,5,19,16.9,3
55,21,2/23/2020,20-181,MIN,@,DEN,L (-12),1,21:51,5,12,0.417,1,4,0.25,2,3,0.667,1,4,5,1,1,0,2,5,13,5.8,2
56,22,2/24/2020,20-182,MIN,@,DAL,L (-16),1,26:45:00,2,10,0.2,1,3,0.333,1,1,1,0,5,5,2,0,3,0,2,6,4,-3
57,23,2/26/2020,20-184,MIN,@,MIA,W (+3),1,18:47,4,7,0.571,0,3,0,1,3,0.333,0,3,3,0,1,1,0,5,9,5.5,2
58,24,2/28/2020,20-186,MIN,@,ORL,L (-11),1,23:10,3,6,0.5,1,2,0.5,0,1,0,0,1,1,2,0,2,0,4,7,5.1,7
59,25,3/1/2020,20-188,MIN,,DAL,L (-20),1,27:14:00,4,13,0.308,0,2,0,1,2,0.5,5,7,12,2,0,0,0,1,9,7.7,1
60,26,3/3/2020,20-190,MIN,@,NOP,W (+5),1,27:23:00,5,12,0.417,1,4,0.25,2,2,1,3,11,14,3,3,2,1,4,13,15.9,3
61,27,3/4/2020,20-191,MIN,,CHI,W (+7),1,24:58:00,5,10,0.5,3,3,1,3,6,0.5,5,6,11,3,0,2,0,2,16,17.8,12
62,28,3/6/2020,20-193,MIN,,ORL,L (-14),1,28:04:00,5,14,0.357,1,5,0.2,5,6,0.833,1,2,3,3,1,1,2,4,16,9.3,-14
63,29,3/8/2020,20-195,MIN,,NOP,L (-13),1,25:11:00,4,14,0.286,0,5,0,2,2,1,1,4,5,1,3,1,2,3,10,4.9,-26
64,30,3/10/2020,20-197,MIN,@,HOU,L (-6),1,23:26,5,8,0.625,0,0,,1,2,0.5,0,4,4,3,1,0,3,4,11,6.7,-7
